Tape & Reel (TR),Cut Tape (CT),Digi-Reel®
1000 for 258.58 2000 for 495.78 3000 for 725.49 5000 for 1172.1 7000 for 1607.69 10000 for 2247.3 12000 for 2667.0 24000 for 5113.68 25000 for 5313.5,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87
2000 for 495.78 4000 for 950.52 6000 for 1391.04 10000 for 2247.3 14000 for 3082.52 20000 for 4309.0 24000 for 5113.68 48000 for 9805.44,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58
1000 for 200.85,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.28 250 for 70.35 500 for 134.87,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.28 250 for 70.35 500 for 134.87
1000 for 256.63 2000 for 492.04 3000 for 720.03 5000 for 1163.25 7000 for 1595.51 10000 for 2230.3 12000 for 2646.84 24000 for 5075.04 25000 for 5273.5,1 for 0.39 10 for 3.4 25 for 8.03 50 for 15.4 100 for 29.53 250 for 69.82 500 for 133.85,1 for 0.39 10 for 3.4 25 for 8.03 50 for 15.4 100 for 29.53 250 for 69.82 500 for 133.85
2000 for 495.78 4000 for 950.52 6000 for 1391.04 10000 for 2247.3 14000 for 3082.52 20000 for 4309.0 24000 for 5113.68 48000 for 9805.44,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58,1 for 0.39 10 for 3.42 25 for 8.09 50 for 15.52 100 for 29.76 250 for 70.35 500 for 134.87 1000 for 258.58
3000 for 717.21 6000 for 1375.08 9000 for 2012.31 15000 for 3251.25 21000 for 4459.35 30000 for 6233.7 36000 for 7398.0,1 for 0.39 10 for 3.38 25 for 8.0 50 for 15.34 100 for 29.42 250 for 69.54 500 for 133.33 1000 for 255.63,1 for 0.39 10 for 3.38 25 for 8.0 50 for 15.34 100 for 29.42 250 for 69.54 500 for 133.33 1000 for 255.63
4000 for 883.2 8000 for 1682.08 12000 for 2452.08 20000 for 3942.2 28000 for 5389.72 40000 for 7508.4,1 for 0.4 10 for 3.37 25 for 7.9 50 for 15.05 100 for 28.65 250 for 67.14 500 for 127.86 1000 for 243.5,1 for 0.4 10 for 3.37 25 for 7.9 50 for 15.05 100 for 28.65 250 for 67.14 500 for 127.86 1000 for 243.5
1000 for 263.27 2000 for 460.82 3000 for 674.01 5000 for 1094.15 7000 for 1508.78 10000 for 2122.9 12000 for 2543.52 24000 for 5060.4,1 for 0.4 10 for 3.49 25 for 8.24 50 for 15.8 100 for 30.29 250 for 71.62 500 for 137.32,1 for 0.4 10 for 3.49 25 for 8.24 50 for 15.8 100 for 30.29 250 for 71.62 500 for 137.32
350 for 140.0 700 for 231.0 1050 for 294.0 2450 for 661.5 8750 for 1925.0 17500 for 3262.875,1 for 0.4,1 for 0.4
1000 for 257.66 2000 for 471.26 3000 for 700.56 5000 for 1156.3 7000 for 1613.78 10000 for 2298.2 12000 for 2753.76 24000 for 5372.88 25000 for 5582.75,1 for 0.41 10 for 3.6 25 for 8.5 50 for 16.31 100 for 30.04 250 for 73.91 500 for 141.71,1 for 0.41 10 for 3.6 25 for 8.5 50 for 16.31 100 for 30.04 250 for 73.91 500 for 141.71
1000 for 259.76 2000 for 490.06 3000 for 730.2 5000 for 1208.15 7000 for 1668.73 10000 for 2332.7 12000 for 2768.4 24000 for 5308.08 25000 for 5515.5,1 for 0.41 10 for 3.55 25 for 8.4 50 for 16.11 100 for 30.25 250 for 73.02 500 for 140.0,1 for 0.41 10 for 3.55 25 for 8.4 50 for 16.11 100 for 30.25 250 for 73.02 500 for 140.0
3000 for 765.12 6000 for 1466.94 9000 for 2146.77 15000 for 3468.3 21000 for 4830.84 30000 for 6576.9,1 for 0.42 10 for 3.61 25 for 8.54 50 for 16.37 100 for 30.14 250 for 74.07 500 for 142.24 1000 for 272.7,1 for 0.42 10 for 3.61 25 for 8.54 50 for 16.37 100 for 30.14 250 for 74.07 500 for 142.24 1000 for 272.7
1000 for 259.76 2000 for 494.22 3000 for 730.2 5000 for 1197.75 7000 for 1664.39 10000 for 2360.1 12000 for 2827.92 24000 for 5501.52 25000 for 5716.5,1 for 0.42 10 for 3.68 25 for 8.71 50 for 16.7 100 for 32.01 250 for 75.68 500 for 145.1,1 for 0.42 10 for 3.68 25 for 8.71 50 for 16.7 100 for 32.01 250 for 75.68 500 for 145.1
3000 for 771.36 6000 for 1478.94 9000 for 2164.32 15000 for 3496.8 21000 for 4796.19 30000 for 6704.7 36000 for 7957.08,1 for 0.42 10 for 3.64 25 for 8.61 50 for 16.5 100 for 31.64 250 for 74.79 500 for 143.4 1000 for 274.93,1 for 0.42 10 for 3.64 25 for 8.61 50 for 16.5 100 for 31.64 250 for 74.79 500 for 143.4 1000 for 274.93
1000 for 261.86 2000 for 448.28 3000 for 659.97 5000 for 1078.6 7000 for 1505.21 10000 for 2143.5 12000 for 2568.36,1 for 0.42 10 for 3.64 25 for 8.61 50 for 16.51 100 for 31.65 250 for 74.83 500 for 143.47,1 for 0.42 10 for 3.64 25 for 8.61 50 for 16.51 100 for 31.65 250 for 74.83 500 for 143.47
1000 for 284.68 2000 for 545.82 3000 for 795.69 5000 for 1280.65 7000 for 1769.95 10000 for 2474.2 12000 for 2936.16 24000 for 5629.92 25000 for 5850.0,1 for 0.43 10 for 3.77 25 for 8.91 50 for 17.09 100 for 32.74 250 for 77.45 500 for 148.48,1 for 0.43 10 for 3.77 25 for 8.91 50 for 17.09 100 for 32.74 250 for 77.45 500 for 148.48
1000 for 309.61 2000 for 593.62 3000 for 868.68 5000 for 1403.45 7000 for 1924.93 10000 for 2690.9 12000 for 3193.44 24000 for 6123.12 25000 for 6362.25,1 for 0.43 10 for 3.73 25 for 8.81 50 for 16.89 100 for 32.39 250 for 76.57 500 for 146.81,1 for 0.43 10 for 3.73 25 for 8.81 50 for 16.89 100 for 32.39 250 for 76.57 500 for 146.81
1000 for 314.09 2000 for 602.2 3000 for 881.25 5000 for 1423.75 7000 for 1952.79 10000 for 2729.8 12000 for 3239.64 24000 for 6211.68 25000 for 6454.25,1 for 0.43 10 for 3.78 25 for 8.94 50 for 17.14 100 for 32.86 250 for 77.68 500 for 148.93,1 for 0.43 10 for 3.78 25 for 8.94 50 for 17.14 100 for 32.86 250 for 77.68 500 for 148.93
1000 for 295.45 2000 for 502.58 3000 for 747.36 5000 for 1234.05 7000 for 1715.07 10000 for 2432.3,1 for 0.43 10 for 3.75 25 for 8.88 50 for 17.02 100 for 32.63 250 for 77.16 500 for 147.93,1 for 0.43 10 for 3.75 25 for 8.88 50 for 17.02 100 for 32.63 250 for 77.16 500 for 147.93
1000 for 309.58 2000 for 593.54 3000 for 868.59 5000 for 1403.3 7000 for 1924.72 10000 for 2690.6 12000 for 3192.96 24000 for 6122.4 25000 for 6361.5,1 for 0.43 10 for 3.73 25 for 8.81 50 for 16.89 100 for 32.38 250 for 76.56 500 for 146.79,1 for 0.43 10 for 3.73 25 for 8.81 50 for 16.89 100 for 32.38 250 for 76.56 500 for 146.79
15000 for 3267.0 30000 for 6222.3 45000 for 9070.65,1 for 0.43 10 for 3.65 25 for 8.56 50 for 16.29 100 for 31.03 250 for 72.7 500 for 138.45 1000 for 263.67 2500 for 617.875,1 for 0.43 10 for 3.65 25 for 8.56 50 for 16.29 100 for 31.03 250 for 72.7 500 for 138.45 1000 for 263.67 2500 for 617.875
1000 for 270.26 2000 for 504.66 3000 for 736.44 5000 for 1192.6 7000 for 1653.54 10000 for 2339.5 12000 for 2803.2 24000 for 5597.76 25000 for 5816.5,1 for 0.43 10 for 3.75 25 for 8.86 50 for 16.99 100 for 32.57 250 for 77.01 500 for 147.64,1 for 0.43 10 for 3.75 25 for 8.86 50 for 16.99 100 for 32.57 250 for 77.01 500 for 147.64
1000 for 290.04 2000 for 556.08 3000 for 813.78 5000 for 1314.7 7000 for 1803.27 10000 for 2520.8 12000 for 2991.48 24000 for 5736.0 25000 for 5960.0,1 for 0.44 10 for 3.84 25 for 9.08 50 for 17.41 100 for 33.37 250 for 78.91 500 for 151.28,1 for 0.44 10 for 3.84 25 for 9.08 50 for 17.41 100 for 33.37 250 for 78.91 500 for 151.28
1000 for 314.93 2000 for 603.82 3000 for 883.59 5000 for 1427.55 7000 for 1958.04 10000 for 2737.1 12000 for 3248.28 24000 for 6228.24 25000 for 6471.5,1 for 0.44 10 for 3.79 25 for 8.96 50 for 17.18 100 for 32.94 250 for 77.89 500 for 149.33,1 for 0.44 10 for 3.79 25 for 8.96 50 for 17.18 100 for 32.94 250 for 77.89 500 for 149.33
3000 for 831.48 6000 for 1594.26 9000 for 2330.19 15000 for 3769.35 21000 for 5169.99 30000 for 7239.6 36000 for 8577.36,1 for 0.45 10 for 3.92 25 for 9.28 50 for 17.79 100 for 32.09 250 for 78.87 500 for 154.57 1000 for 296.36,1 for 0.45 10 for 3.92 25 for 9.28 50 for 17.79 100 for 32.09 250 for 78.87 500 for 154.57 1000 for 296.36
3000 for 663.09 6000 for 1316.88 9000 for 1968.03 15000 for 3266.4 21000 for 4561.41 30000 for 6500.1,1 for 0.45 10 for 3.9 25 for 9.22 50 for 17.67 100 for 33.88 250 for 80.09 500 for 153.55 1000 for 294.39,1 for 0.45 10 for 3.9 25 for 9.22 50 for 17.67 100 for 33.88 250 for 80.09 500 for 153.55 1000 for 294.39
3000 for 769.98 6000 for 1466.46 9000 for 2137.68 15000 for 3436.65 21000 for 4698.54 30000 for 6545.7,1 for 0.45 10 for 3.84 25 for 9.0 50 for 17.14 100 for 32.65 250 for 76.5 500 for 145.69 1000 for 277.45,1 for 0.45 10 for 3.68 25 for 8.49 50 for 15.97 100 for 30.03 250 for 69.2 500 for 130.14 1000 for 244.76
3000 for 839.52 6000 for 1609.62 9000 for 2355.57 15000 for 3805.8 21000 for 5220.18 30000 for 7297.2 36000 for 8660.16,1 for 0.45 10 for 3.88 25 for 9.18 50 for 17.61 100 for 33.76 250 for 79.81 500 for 153.01 1000 for 293.35,1 for 0.45 10 for 3.88 25 for 9.18 50 for 17.61 100 for 33.76 250 for 79.81 500 for 153.01 1000 for 293.35
1000 for 294.15 2000 for 561.0 3000 for 815.97 5000 for 1316.85 7000 for 1819.93 10000 for 2556.4 12000 for 3033.84 24000 for 5817.12 25000 for 6044.5,1 for 0.45 10 for 3.89 25 for 9.21 50 for 17.65 100 for 32.74 250 for 80.02 500 for 153.42,1 for 0.45 10 for 3.89 25 for 9.21 50 for 17.65 100 for 32.74 250 for 80.02 500 for 153.42
1000 for 257.66 2000 for 506.74 3000 for 723.96 5000 for 1145.95 7000 for 1566.74 10000 for 2184.8 12000 for 2617.8,1 for 0.45 10 for 3.94 25 for 9.32 50 for 17.87 100 for 33.17 250 for 81.0 500 for 155.3,1 for 0.45 10 for 3.94 25 for 9.32 50 for 17.87 100 for 33.17 250 for 81.0 500 for 155.3
3000 for 853.08 6000 for 1635.66 9000 for 2393.64 15000 for 3867.3 21000 for 5304.39 30000 for 7415.1 36000 for 8800.2,1 for 0.45 10 for 3.88 25 for 9.18 50 for 17.6 100 for 33.74 250 for 79.76 500 for 152.92 1000 for 293.19,1 for 0.45 10 for 3.88 25 for 9.18 50 for 17.6 100 for 33.74 250 for 79.76 500 for 152.92 1000 for 293.19
3000 for 840.54 6000 for 1611.6 9000 for 2397.15 15000 for 3612.75,1 for 0.46 10 for 3.97 25 for 9.38 50 for 17.98 100 for 33.93 250 for 81.5 500 for 156.26 1000 for 299.58,1 for 0.46 10 for 3.97 25 for 9.38 50 for 17.98 100 for 33.93 250 for 81.5 500 for 156.26 1000 for 299.58
1000 for 329.15 2000 for 631.08 3000 for 923.49 5000 for 1492.0 7000 for 2046.45 10000 for 2860.7 12000 for 3394.92 24000 for 6509.52 25000 for 6763.75,1 for 0.46 10 for 3.96 25 for 9.37 50 for 17.96 100 for 34.43 250 for 81.4 500 for 156.07,1 for 0.46 10 for 3.96 25 for 9.37 50 for 17.96 100 for 34.43 250 for 81.4 500 for 156.07
3000 for 840.66 6000 for 1611.84 9000 for 2358.81 15000 for 3810.9 21000 for 5227.11 30000 for 7307.1 36000 for 8672.04,1 for 0.46 10 for 3.97 25 for 9.38 50 for 17.98 100 for 34.48 250 for 81.51 500 for 156.28 1000 for 299.63,1 for 0.46 10 for 3.97 25 for 9.38 50 for 17.98 100 for 34.48 250 for 81.51 500 for 156.28 1000 for 299.63
1000 for 194.0 3000 for 532.8 5000 for 817.5,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06
3000 for 800.37 6000 for 1480.86,1 for 0.47 10 for 4.06 25 for 9.61 50 for 18.43 100 for 33.82 250 for 83.13 500 for 160.12 1000 for 307.0,1 for 0.47 10 for 4.06 25 for 9.61 50 for 18.43 100 for 33.82 250 for 83.13 500 for 160.12 1000 for 307.0
1000 for 199.02 2000 for 388.0 3000 for 532.8 5000 for 835.55 7000 for 1144.5,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06
4500 for 1172.52 9000 for 2233.08 13500 for 3255.255 22500 for 5233.5 31500 for 7155.225 45000 for 9967.95,1 for 0.47 10 for 4.01 25 for 9.4 50 for 17.9 100 for 34.09 250 for 79.89 500 for 152.14 1000 for 289.74,1 for 0.47 10 for 4.01 25 for 9.4 50 for 17.9 100 for 34.09 250 for 79.89 500 for 152.14 1000 for 289.74
1000 for 199.02 2000 for 388.0 3000 for 532.8 5000 for 835.55 7000 for 1144.5,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06,1 for 0.47 10 for 3.56 25 for 7.96 100 for 27.0 500 for 112.06
