quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Type,Frequency,Frequency Stability,Frequency Tolerance,Load Capacitance,ESR (Equivalent Series Resistance),Operating Mode,Operating Temperature,Package / Case,Mounting Type
16988,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-26-0000MF09Z-AC0/5260887,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 26.0000MF09Z-AC0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,26 MHz,±9ppm,±10ppm,9pF,40 Ohms,Fundamental,-20°C ~ 75°C,"4-SMD, No Lead",Surface Mount
14994,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-25-0000MF18X-G0/5260883,1000 in Tape & Reel (TR) for 258.58  2000 in Tape & Reel (TR) for 495.78  3000 in Tape & Reel (TR) for 725.49  5000 in Tape & Reel (TR) for 1172.1  7000 in Tape & Reel (TR) for 1607.69  10000 in Tape & Reel (TR) for 2247.3  12000 in Tape & Reel (TR) for 2667.0  24000 in Tape & Reel (TR) for 5113.68  25000 in Tape & Reel (TR) for 5313.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,TSX-3225 25.0000MF18X-G0,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,25 MHz,±18ppm,±10ppm,20pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
13986,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-26-0000MF10Z-B6/7430948,2000 in Tape & Reel (TR) for 495.78  4000 in Tape & Reel (TR) for 950.52  6000 in Tape & Reel (TR) for 1391.04  10000 in Tape & Reel (TR) for 2247.3  14000 in Tape & Reel (TR) for 3082.52  20000 in Tape & Reel (TR) for 4309.0  24000 in Tape & Reel (TR) for 5113.68  48000 in Tape & Reel (TR) for 9805.44  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1000 in Cut Tape (CT) for 258.58  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87  1000 in Digi-Reel® for 258.58 ,TSX-3225 26.0000MF10Z-B6,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,26 MHz,±10ppm,±10ppm,16pF,40 Ohms,Fundamental,-20°C ~ 75°C,"4-SMD, No Lead",Surface Mount
11604,Abracon LLC,0.39,Active,https://www.digikey.com/en/products/detail/abracon-llc/ABLS2-8-000MHZ-D4Y-T/2001231,1000 in Tape & Reel (TR) for 200.85  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.28  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.28  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87 ,ABLS2-8.000MHZ-D4Y-T,https://abracon.com/Resonators/ABLS2.pdf,MHz Crystal,8 MHz,±30ppm,±30ppm,18pF,80 Ohms,Fundamental,-40°C ~ 85°C,HC-49/US,Surface Mount
8881,Abracon LLC,0.39,Active,https://www.digikey.com/en/products/detail/abracon-llc/ABM8-16-000MHZ-D1X-T/9997923,1000 in Tape & Reel (TR) for 256.63  2000 in Tape & Reel (TR) for 492.04  3000 in Tape & Reel (TR) for 720.03  5000 in Tape & Reel (TR) for 1163.25  7000 in Tape & Reel (TR) for 1595.51  10000 in Tape & Reel (TR) for 2230.3  12000 in Tape & Reel (TR) for 2646.84  24000 in Tape & Reel (TR) for 5075.04  25000 in Tape & Reel (TR) for 5273.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.4  25 in Cut Tape (CT) for 8.03  50 in Cut Tape (CT) for 15.4  100 in Cut Tape (CT) for 29.53  250 in Cut Tape (CT) for 69.82  500 in Cut Tape (CT) for 133.85  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.4  25 in Digi-Reel® for 8.03  50 in Digi-Reel® for 15.4  100 in Digi-Reel® for 29.53  250 in Digi-Reel® for 69.82  500 in Digi-Reel® for 133.85 ,ABM8-16.000MHZ-D1X-T,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6536/ABM8_Datasheet.pdf,MHz Crystal,16 MHz,±20ppm,±10ppm,18pF,70 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
8545,EPSON,0.39,Active,https://www.digikey.com/en/products/detail/epson/TSX-3225-32-0000MF10Z-W6/5260908,2000 in Tape & Reel (TR) for 495.78  4000 in Tape & Reel (TR) for 950.52  6000 in Tape & Reel (TR) for 1391.04  10000 in Tape & Reel (TR) for 2247.3  14000 in Tape & Reel (TR) for 3082.52  20000 in Tape & Reel (TR) for 4309.0  24000 in Tape & Reel (TR) for 5113.68  48000 in Tape & Reel (TR) for 9805.44  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.42  25 in Cut Tape (CT) for 8.09  50 in Cut Tape (CT) for 15.52  100 in Cut Tape (CT) for 29.76  250 in Cut Tape (CT) for 70.35  500 in Cut Tape (CT) for 134.87  1000 in Cut Tape (CT) for 258.58  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.42  25 in Digi-Reel® for 8.09  50 in Digi-Reel® for 15.52  100 in Digi-Reel® for 29.76  250 in Digi-Reel® for 70.35  500 in Digi-Reel® for 134.87  1000 in Digi-Reel® for 258.58 ,TSX-3225 32.0000MF10Z-W6,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,MHz Crystal,32 MHz,±10ppm,±10ppm,12pF,40 Ohms,Fundamental,-20°C ~ 75°C,"4-SMD, No Lead",Surface Mount
7296,CTS-Frequency Controls,0.39,Active,https://www.digikey.com/en/products/detail/cts-frequency-controls/402F2401XIAR/4972876,3000 in Tape & Reel (TR) for 717.21  6000 in Tape & Reel (TR) for 1375.08  9000 in Tape & Reel (TR) for 2012.31  15000 in Tape & Reel (TR) for 3251.25  21000 in Tape & Reel (TR) for 4459.35  30000 in Tape & Reel (TR) for 6233.7  36000 in Tape & Reel (TR) for 7398.0  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 3.38  25 in Cut Tape (CT) for 8.0  50 in Cut Tape (CT) for 15.34  100 in Cut Tape (CT) for 29.42  250 in Cut Tape (CT) for 69.54  500 in Cut Tape (CT) for 133.33  1000 in Cut Tape (CT) for 255.63  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 3.38  25 in Digi-Reel® for 8.0  50 in Digi-Reel® for 15.34  100 in Digi-Reel® for 29.42  250 in Digi-Reel® for 69.54  500 in Digi-Reel® for 133.33  1000 in Digi-Reel® for 255.63 ,402F2401XIAR,https://www.ctscorp.com/Files/DataSheets/Passives/FCP/Crystals/crystals-402-datasheet.pdf,MHz Crystal,24 MHz,±15ppm,±10ppm,10pF,100 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
66001,Amphenol ICC (FCI),0.4,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/F3311A7H121012E200/15287510,4000 in Tape & Reel (TR) for 883.2  8000 in Tape & Reel (TR) for 1682.08  12000 in Tape & Reel (TR) for 2452.08  20000 in Tape & Reel (TR) for 3942.2  28000 in Tape & Reel (TR) for 5389.72  40000 in Tape & Reel (TR) for 7508.4  1 in Cut Tape (CT) for 0.4  10 in Cut Tape (CT) for 3.37  25 in Cut Tape (CT) for 7.9  50 in Cut Tape (CT) for 15.05  100 in Cut Tape (CT) for 28.65  250 in Cut Tape (CT) for 67.14  500 in Cut Tape (CT) for 127.86  1000 in Cut Tape (CT) for 243.5  1 in Digi-Reel® for 0.4  10 in Digi-Reel® for 3.37  25 in Digi-Reel® for 7.9  50 in Digi-Reel® for 15.05  100 in Digi-Reel® for 28.65  250 in Digi-Reel® for 67.14  500 in Digi-Reel® for 127.86  1000 in Digi-Reel® for 243.5 ,F3311A7H121012E200,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/flex/ffc_fpc_050mm_f331.pdf,,,,,,,,-55°C ~ 85°C,,"Surface Mount, Right Angle"
19965,ECS Inc.,0.4,Active,https://www.digikey.com/en/products/detail/ecs-inc/ECS-120-20-5PXDN-TR/827404,1000 in Tape & Reel (TR) for 263.27  2000 in Tape & Reel (TR) for 460.82  3000 in Tape & Reel (TR) for 674.01  5000 in Tape & Reel (TR) for 1094.15  7000 in Tape & Reel (TR) for 1508.78  10000 in Tape & Reel (TR) for 2122.9  12000 in Tape & Reel (TR) for 2543.52  24000 in Tape & Reel (TR) for 5060.4  1 in Cut Tape (CT) for 0.4  10 in Cut Tape (CT) for 3.49  25 in Cut Tape (CT) for 8.24  50 in Cut Tape (CT) for 15.8  100 in Cut Tape (CT) for 30.29  250 in Cut Tape (CT) for 71.62  500 in Cut Tape (CT) for 137.32  1 in Digi-Reel® for 0.4  10 in Digi-Reel® for 3.49  25 in Digi-Reel® for 8.24  50 in Digi-Reel® for 15.8  100 in Digi-Reel® for 30.29  250 in Digi-Reel® for 71.62  500 in Digi-Reel® for 137.32 ,ECS-120-20-5PXDN-TR,https://ecsxtal.com/store/pdf/csm-7x-dn.pdf,MHz Crystal,12 MHz,±100ppm,±30ppm,20pF,50 Ohms,Fundamental,-40°C ~ 85°C,HC-49/US,Surface Mount
12596,Samtec Inc.,0.4,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-103-01-L-SV-TR/6691760,350 in Tape & Reel (TR) for 140.0  700 in Tape & Reel (TR) for 231.0  1050 in Tape & Reel (TR) for 294.0  2450 in Tape & Reel (TR) for 661.5  8750 in Tape & Reel (TR) for 1925.0  17500 in Tape & Reel (TR) for 3262.875  1 in Cut Tape (CT) for 0.4  1 in Digi-Reel® for 0.4 ,TSM-103-01-L-SV-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,,,,,,,,-55°C ~ 125°C,,Surface Mount
55633,ECS Inc.,0.41,Active,https://www.digikey.com/en/products/detail/ecs-inc/ECS-240-18-33-JGN-TR/6821630,1000 in Tape & Reel (TR) for 257.66  2000 in Tape & Reel (TR) for 471.26  3000 in Tape & Reel (TR) for 700.56  5000 in Tape & Reel (TR) for 1156.3  7000 in Tape & Reel (TR) for 1613.78  10000 in Tape & Reel (TR) for 2298.2  12000 in Tape & Reel (TR) for 2753.76  24000 in Tape & Reel (TR) for 5372.88  25000 in Tape & Reel (TR) for 5582.75  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 3.6  25 in Cut Tape (CT) for 8.5  50 in Cut Tape (CT) for 16.31  100 in Cut Tape (CT) for 30.04  250 in Cut Tape (CT) for 73.91  500 in Cut Tape (CT) for 141.71  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 3.6  25 in Digi-Reel® for 8.5  50 in Digi-Reel® for 16.31  100 in Digi-Reel® for 30.04  250 in Digi-Reel® for 73.91  500 in Digi-Reel® for 141.71 ,ECS-240-18-33-JGN-TR,https://ecsxtal.com/store/pdf/ecx-32.pdf,MHz Crystal,24 MHz,±30ppm,±20ppm,18pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
39840,ECS Inc.,0.41,Active,https://www.digikey.com/en/products/detail/ecs-inc/ECS-250-18-33-JGN-TR/6821632,1000 in Tape & Reel (TR) for 259.76  2000 in Tape & Reel (TR) for 490.06  3000 in Tape & Reel (TR) for 730.2  5000 in Tape & Reel (TR) for 1208.15  7000 in Tape & Reel (TR) for 1668.73  10000 in Tape & Reel (TR) for 2332.7  12000 in Tape & Reel (TR) for 2768.4  24000 in Tape & Reel (TR) for 5308.08  25000 in Tape & Reel (TR) for 5515.5  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 3.55  25 in Cut Tape (CT) for 8.4  50 in Cut Tape (CT) for 16.11  100 in Cut Tape (CT) for 30.25  250 in Cut Tape (CT) for 73.02  500 in Cut Tape (CT) for 140.0  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 3.55  25 in Digi-Reel® for 8.4  50 in Digi-Reel® for 16.11  100 in Digi-Reel® for 30.25  250 in Digi-Reel® for 73.02  500 in Digi-Reel® for 140.0 ,ECS-250-18-33-JGN-TR,https://ecsxtal.com/store/pdf/ecx-32.pdf,MHz Crystal,25 MHz,±30ppm,±20ppm,18pF,40 Ohms,Fundamental,-40°C ~ 85°C,"4-SMD, No Lead",Surface Mount
