quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Output Configuration,Output Type,Number of Regulators,Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max),Grade,Protection Features,Current - Output,Package / Case
2464,Diodes Incorporated,0.38,Active,https://www.digikey.com/en/products/detail/diodes-incorporated/AP7354-33W5-7/9554534,3000 in Tape & Reel (TR) for 486.57  6000 in Tape & Reel (TR) for 945.6  9000 in Tape & Reel (TR) for 1397.7  15000 in Tape & Reel (TR) for 2291.4  21000 in Tape & Reel (TR) for 3176.67  30000 in Tape & Reel (TR) for 4495.2  1 in Cut Tape (CT) for 0.38  10 in Cut Tape (CT) for 2.65  25 in Cut Tape (CT) for 5.89  100 in Cut Tape (CT) for 20.37  250 in Cut Tape (CT) for 47.1  500 in Cut Tape (CT) for 89.58  1000 in Cut Tape (CT) for 171.57  1 in Digi-Reel® for 0.38  10 in Digi-Reel® for 2.65  25 in Digi-Reel® for 5.89  100 in Digi-Reel® for 20.37  250 in Digi-Reel® for 47.1  500 in Digi-Reel® for 89.58  1000 in Digi-Reel® for 171.57 ,AP7354-33W5-7,https://www.diodes.com/assets/Datasheets/AP7354.pdf,Positive,Fixed,1,5.5V,3.3V,0.35V @ 150mA,,Over Current,150mA,"SC-74A, SOT-753"
16009,STMicroelectronics,0.39,Active,https://www.digikey.com/en/products/detail/stmicroelectronics/LDK220M-R/4869113,3000 in Tape & Reel (TR) for 495.84  6000 in Tape & Reel (TR) for 963.72  9000 in Tape & Reel (TR) for 1424.61  15000 in Tape & Reel (TR) for 2335.5  21000 in Tape & Reel (TR) for 3237.99  30000 in Tape & Reel (TR) for 4582.2  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 2.7  25 in Cut Tape (CT) for 6.0  100 in Cut Tape (CT) for 20.74  250 in Cut Tape (CT) for 47.97  500 in Cut Tape (CT) for 91.26  1000 in Cut Tape (CT) for 174.81  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 2.7  25 in Digi-Reel® for 6.0  100 in Digi-Reel® for 20.74  250 in Digi-Reel® for 47.97  500 in Digi-Reel® for 91.26  1000 in Digi-Reel® for 174.81 ,LDK220M-R,https://www.st.com/content/ccc/resource/technical/document/datasheet/17/47/52/b8/86/63/45/b6/DM00109416.pdf/files/DM00109416.pdf/jcr:content/translations/en.DM00109416.pdf,Positive,Adjustable,1,13.2V,-,0.35V @ 200mA,,"Over Current, Over Temperature",200mA,"SC-74A, SOT-753"
9445,Microchip Technology,0.39,Active,https://www.digikey.com/en/products/detail/microchip-technology/MCP1792T-3302H-CB/10297921,3000 in Tape & Reel (TR) for 870.0  1 in Cut Tape (CT) for 0.39  25 in Cut Tape (CT) for 8.0  100 in Cut Tape (CT) for 29.0  1 in Digi-Reel® for 0.39  25 in Digi-Reel® for 8.0  100 in Digi-Reel® for 29.0 ,MCP1792T-3302H/CB,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP1792-Family-Data-Sheet-DS20006229D.pdf,Positive,Fixed,1,55V,3.3V,1.2V @ 100mA,Automotive,"Over Current, Over Temperature, Short Circuit, Under Voltage Lockout (UVLO)",100mA,"TO-236-3, SC-59, SOT-23-3"
7028,Texas Instruments,0.39,Active,https://www.digikey.com/en/products/detail/texas-instruments/TLV1117-33IDCYR/1216719,2500 in Tape & Reel (TR) for 424.15  5000 in Tape & Reel (TR) for 823.45  7500 in Tape & Reel (TR) for 1216.425  12500 in Tape & Reel (TR) for 1992.875  17500 in Tape & Reel (TR) for 2761.675  25000 in Tape & Reel (TR) for 3906.5  62500 in Tape & Reel (TR) for 9557.5  1 in Cut Tape (CT) for 0.39  10 in Cut Tape (CT) for 2.74  25 in Cut Tape (CT) for 6.1  100 in Cut Tape (CT) for 21.1  250 in Cut Tape (CT) for 48.81  500 in Cut Tape (CT) for 92.88  1000 in Cut Tape (CT) for 177.93  1 in Digi-Reel® for 0.39  10 in Digi-Reel® for 2.74  25 in Digi-Reel® for 6.1  100 in Digi-Reel® for 21.1  250 in Digi-Reel® for 48.81  500 in Digi-Reel® for 92.88  1000 in Digi-Reel® for 177.93 ,TLV1117-33IDCYR,https://www.ti.com/lit/ds/symlink/tlv1117.pdf?ts=1751350710342&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTLV1123,Positive,Fixed,1,15V,3.3V,1.3V @ 800mA,,"Over Current, Over Temperature",800mA,"TO-261-4, TO-261AA"
40878,STMicroelectronics,0.4,Active,https://www.digikey.com/en/products/detail/stmicroelectronics/L78M05ABDT-TR/585725,2500 in Tape & Reel (TR) for 425.5  5000 in Tape & Reel (TR) for 826.05  7500 in Tape & Reel (TR) for 1220.325  12500 in Tape & Reel (TR) for 1999.25  17500 in Tape & Reel (TR) for 2770.6  25000 in Tape & Reel (TR) for 3919.0  62500 in Tape & Reel (TR) for 9588.125  1 in Cut Tape (CT) for 0.4  10 in Cut Tape (CT) for 2.75  25 in Cut Tape (CT) for 6.12  100 in Cut Tape (CT) for 21.17  250 in Cut Tape (CT) for 48.96  500 in Cut Tape (CT) for 93.16  1000 in Cut Tape (CT) for 178.48  1 in Digi-Reel® for 0.4  10 in Digi-Reel® for 2.75  25 in Digi-Reel® for 6.12  100 in Digi-Reel® for 21.17  250 in Digi-Reel® for 48.96  500 in Digi-Reel® for 93.16  1000 in Digi-Reel® for 178.48 ,L78M05ABDT-TR,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2578/L78MxxAB%2CAC%20.pdf,Positive,Fixed,1,35V,5V,-,,"Over Current, Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
29400,STMicroelectronics,0.4,Active,https://www.digikey.com/en/products/detail/stmicroelectronics/LDL1117S50R/7102072,2500 in Tape & Reel (TR) for 429.35  5000 in Tape & Reel (TR) for 833.55  7500 in Tape & Reel (TR) for 1231.425  12500 in Tape & Reel (TR) for 2017.5  17500 in Tape & Reel (TR) for 2795.975  25000 in Tape & Reel (TR) for 3955.0  62500 in Tape & Reel (TR) for 9676.875  1 in Cut Tape (CT) for 0.4  10 in Cut Tape (CT) for 2.77  25 in Cut Tape (CT) for 6.17  100 in Cut Tape (CT) for 21.35  250 in Cut Tape (CT) for 49.4  500 in Cut Tape (CT) for 93.99  1000 in Cut Tape (CT) for 180.09  1 in Digi-Reel® for 0.4  10 in Digi-Reel® for 2.77  25 in Digi-Reel® for 6.17  100 in Digi-Reel® for 21.35  250 in Digi-Reel® for 49.4  500 in Digi-Reel® for 93.99  1000 in Digi-Reel® for 180.09 ,LDL1117S50R,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/0e/5a/00/ca/10/1a/4f/a5/DM00366442/files/DM00366442.pdf/jcr:content/translations/en.DM00366442.pdf,Positive,Fixed,1,18V,5V,0.6V @ 1.2A,,"Over Current, Over Temperature, Under Voltage Lockout (UVLO)",1.2A,"TO-261-4, TO-261AA"
6558,STMicroelectronics,0.4,Active,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117DT33CTR/585759,2500 in Tape & Reel (TR) for 426.925  5000 in Tape & Reel (TR) for 828.8  7500 in Tape & Reel (TR) for 1224.375  12500 in Tape & Reel (TR) for 2006.0  17500 in Tape & Reel (TR) for 2779.875  25000 in Tape & Reel (TR) for 3932.25  62500 in Tape & Reel (TR) for 9620.625  1 in Cut Tape (CT) for 0.4  10 in Cut Tape (CT) for 2.76  25 in Cut Tape (CT) for 6.14  100 in Cut Tape (CT) for 21.23  250 in Cut Tape (CT) for 49.12  500 in Cut Tape (CT) for 93.47  1000 in Cut Tape (CT) for 179.07  1 in Digi-Reel® for 0.4  10 in Digi-Reel® for 2.76  25 in Digi-Reel® for 6.14  100 in Digi-Reel® for 21.23  250 in Digi-Reel® for 49.12  500 in Digi-Reel® for 93.47  1000 in Digi-Reel® for 179.07 ,LD1117DT33CTR,https://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,Positive,Fixed,1,15V,3.3V,1.3V @ 800mA,,"Over Current, Over Temperature",800mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
77742,onsemi,0.41,Active,https://www.digikey.com/en/products/detail/onsemi/MC78M05BDTRKG/919369,2500 in Tape & Reel (TR) for 448.8  5000 in Tape & Reel (TR) for 871.55  7500 in Tape & Reel (TR) for 1287.675  12500 in Tape & Reel (TR) for 2110.0  17500 in Tape & Reel (TR) for 2924.425  25000 in Tape & Reel (TR) for 4137.0  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 2.89  25 in Cut Tape (CT) for 6.44  100 in Cut Tape (CT) for 22.28  250 in Cut Tape (CT) for 51.58  500 in Cut Tape (CT) for 98.19  1000 in Cut Tape (CT) for 188.18  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 2.89  25 in Digi-Reel® for 6.44  100 in Digi-Reel® for 22.28  250 in Digi-Reel® for 51.58  500 in Digi-Reel® for 98.19  1000 in Digi-Reel® for 188.18 ,MC78M05BDTRKG,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,Positive,Fixed,1,35V,5V,-,,"Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
9007,onsemi,0.41,Active,https://www.digikey.com/en/products/detail/onsemi/LM317MBSTT3G/1476826,4000 in Tape & Reel (TR) for 701.84  8000 in Tape & Reel (TR) for 1367.2  12000 in Tape & Reel (TR) for 2023.32  20000 in Tape & Reel (TR) for 3321.6  28000 in Tape & Reel (TR) for 4608.8  40000 in Tape & Reel (TR) for 6527.2  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 2.88  25 in Cut Tape (CT) for 6.42  100 in Cut Tape (CT) for 22.23  250 in Cut Tape (CT) for 51.46  500 in Cut Tape (CT) for 97.96  1000 in Cut Tape (CT) for 187.74  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 2.88  25 in Digi-Reel® for 6.42  100 in Digi-Reel® for 22.23  250 in Digi-Reel® for 51.46  500 in Digi-Reel® for 97.96  1000 in Digi-Reel® for 187.74 ,LM317MBSTT3G,https://www.onsemi.com/pdf/datasheet/lm317m-d.pdf,Positive,Adjustable,1,40V,1.2V,-,,"Over Current, Over Temperature, Short Circuit",500mA,"TO-261-4, TO-261AA"
4095,onsemi,0.41,Active,https://www.digikey.com/en/products/detail/onsemi/MC78M15CDTRKG/919383,2500 in Tape & Reel (TR) for 441.75  5000 in Tape & Reel (TR) for 857.75  7500 in Tape & Reel (TR) for 1267.275  12500 in Tape & Reel (TR) for 2076.5  17500 in Tape & Reel (TR) for 2877.875  25000 in Tape & Reel (TR) for 4071.0  62500 in Tape & Reel (TR) for 9961.25  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 2.85  25 in Cut Tape (CT) for 6.34  100 in Cut Tape (CT) for 21.95  250 in Cut Tape (CT) for 50.79  500 in Cut Tape (CT) for 96.67  1000 in Cut Tape (CT) for 185.24  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 2.85  25 in Digi-Reel® for 6.34  100 in Digi-Reel® for 21.95  250 in Digi-Reel® for 50.79  500 in Digi-Reel® for 96.67  1000 in Digi-Reel® for 185.24 ,MC78M15CDTRKG,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,Positive,Fixed,1,35V,15V,-,,"Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
1394,Diodes Incorporated,0.41,Active,https://www.digikey.com/en/products/detail/diodes-incorporated/ZXTR2005Z-13/4251570,2500 in Tape & Reel (TR) for 438.225  5000 in Tape & Reel (TR) for 850.85  7500 in Tape & Reel (TR) for 1257.075  12500 in Tape & Reel (TR) for 2059.625  17500 in Tape & Reel (TR) for 2854.425  25000 in Tape & Reel (TR) for 4038.0  62500 in Tape & Reel (TR) for 9880.0  1 in Cut Tape (CT) for 0.41  10 in Cut Tape (CT) for 2.83  25 in Cut Tape (CT) for 6.29  100 in Cut Tape (CT) for 21.78  250 in Cut Tape (CT) for 50.39  500 in Cut Tape (CT) for 95.91  1000 in Cut Tape (CT) for 183.77  1 in Digi-Reel® for 0.41  10 in Digi-Reel® for 2.83  25 in Digi-Reel® for 6.29  100 in Digi-Reel® for 21.78  250 in Digi-Reel® for 50.39  500 in Digi-Reel® for 95.91  1000 in Digi-Reel® for 183.77 ,ZXTR2005Z-13,https://www.diodes.com/assets/Datasheets/ZXTR2005Z.pdf,Positive,Fixed,1,100V,5V,-,Automotive,-,38mA,TO-243AA
84262,onsemi,0.42,Active,https://www.digikey.com/en/products/detail/onsemi/MC78M05CDTRKG/660633,2500 in Tape & Reel (TR) for 457.625  5000 in Tape & Reel (TR) for 888.75  7500 in Tape & Reel (TR) for 1313.175  12500 in Tape & Reel (TR) for 2151.875  17500 in Tape & Reel (TR) for 2982.525  25000 in Tape & Reel (TR) for 4219.5  1 in Cut Tape (CT) for 0.42  10 in Cut Tape (CT) for 2.94  25 in Cut Tape (CT) for 6.56  100 in Cut Tape (CT) for 22.71  250 in Cut Tape (CT) for 52.57  500 in Cut Tape (CT) for 100.09  1000 in Cut Tape (CT) for 191.85  1 in Digi-Reel® for 0.42  10 in Digi-Reel® for 2.94  25 in Digi-Reel® for 6.56  100 in Digi-Reel® for 22.71  250 in Digi-Reel® for 52.57  500 in Digi-Reel® for 100.09  1000 in Digi-Reel® for 191.85 ,MC78M05CDTRKG,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,Positive,Fixed,1,35V,5V,-,,"Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
33182,onsemi,0.43,Active,https://www.digikey.com/en/products/detail/onsemi/MC78M12CDTRKG/919380,2500 in Tape & Reel (TR) for 461.85  5000 in Tape & Reel (TR) for 897.0  7500 in Tape & Reel (TR) for 1325.475  12500 in Tape & Reel (TR) for 2172.0  17500 in Tape & Reel (TR) for 3010.525  25000 in Tape & Reel (TR) for 4259.0  1 in Cut Tape (CT) for 0.43  10 in Cut Tape (CT) for 2.97  25 in Cut Tape (CT) for 6.61  100 in Cut Tape (CT) for 22.91  250 in Cut Tape (CT) for 53.05  500 in Cut Tape (CT) for 101.0  1000 in Cut Tape (CT) for 193.6  1 in Digi-Reel® for 0.43  10 in Digi-Reel® for 2.97  25 in Digi-Reel® for 6.61  100 in Digi-Reel® for 22.91  250 in Digi-Reel® for 53.05  500 in Digi-Reel® for 101.0  1000 in Digi-Reel® for 193.6 ,MC78M12CDTRKG,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,Positive,Fixed,1,35V,12V,-,,"Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
37677,Texas Instruments,0.44,Active,https://www.digikey.com/en/products/detail/texas-instruments/LP2981-33DBVR/691742,3000 in Tape & Reel (TR) for 571.95  6000 in Tape & Reel (TR) for 1112.46  9000 in Tape & Reel (TR) for 1645.02  15000 in Tape & Reel (TR) for 2698.05  21000 in Tape & Reel (TR) for 3741.57  30000 in Tape & Reel (TR) for 5296.2  1 in Cut Tape (CT) for 0.44  10 in Cut Tape (CT) for 3.08  25 in Cut Tape (CT) for 6.87  100 in Cut Tape (CT) for 23.81  250 in Cut Tape (CT) for 55.14  500 in Cut Tape (CT) for 105.02  1000 in Cut Tape (CT) for 201.37  1 in Digi-Reel® for 0.44  10 in Digi-Reel® for 3.08  25 in Digi-Reel® for 6.87  100 in Digi-Reel® for 23.81  250 in Digi-Reel® for 55.14  500 in Digi-Reel® for 105.02  1000 in Digi-Reel® for 201.37 ,LP2981-33DBVR,https://rocelec.widen.net/view/pdf/hoj0tupqrz/slvs521g.pdf?t.download=true&u=5oefqw,Positive,Fixed,1,16V,3.3V,0.37V @ 100mA,,"Over Current, Over Temperature, Short Circuit",100mA,"SC-74A, SOT-753"
51267,onsemi,0.45,Active,https://www.digikey.com/en/products/detail/onsemi/LM317MDTRKG/918506,2500 in Tape & Reel (TR) for 491.1  5000 in Tape & Reel (TR) for 954.1  7500 in Tape & Reel (TR) for 1410.0  12500 in Tape & Reel (TR) for 2311.0  17500 in Tape & Reel (TR) for 3203.55  25000 in Tape & Reel (TR) for 4532.75  1 in Cut Tape (CT) for 0.45  10 in Cut Tape (CT) for 3.14  25 in Cut Tape (CT) for 7.01  100 in Cut Tape (CT) for 24.31  250 in Cut Tape (CT) for 56.33  500 in Cut Tape (CT) for 107.29  1000 in Cut Tape (CT) for 205.76  1 in Digi-Reel® for 0.45  10 in Digi-Reel® for 3.14  25 in Digi-Reel® for 7.01  100 in Digi-Reel® for 24.31  250 in Digi-Reel® for 56.33  500 in Digi-Reel® for 107.29  1000 in Digi-Reel® for 205.76 ,LM317MDTRKG,https://www.onsemi.com/pdf/datasheet/lm317m-d.pdf,Positive,Adjustable,1,40V,1.2V,-,,"Over Current, Over Temperature, Short Circuit",500mA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
